i,side,entry,sl,tp,exit,reason,pnl,confidence
5478,SELL,1038.84,1038.84,1028.1247058823535,1038.84,SL,0.0,0.7039210970447966
5583,SELL,1043.57,1045.4435294117645,1032.7972058823534,1045.4435294117645,SL,-1.8735294117645935,0.7074057042353634
5952,SELL,1052.53,1054.6494117647057,1040.3433823529417,1054.6494117647057,SL,-2.1194117647057737,0.7064490159101474
6254,BUY,1079.89,1077.7617647058826,1092.127352941176,1077.7617647058826,SL,-2.1282352941175304,0.7157076119632733
6301,BUY,1076.69,1076.69,1087.0332352941175,1087.0332352941175,TP2,6.071029411764584,0.7341876215783725
6302,BUY,1079.73,1079.73,1090.3404411764714,1090.3404411764714,TP2,6.22786764705927,0.8068611040892767
6303,BUY,1081.4,1081.4,1092.4197058823534,1092.4197058823534,TP2,6.468088235294317,0.7791501285562278
6304,BUY,1081.52,1081.52,1092.4652941176475,1092.4652941176475,TP2,6.4244117647061785,0.7980487883975979
6306,BUY,1085.91,1085.91,1097.021029411765,1097.021029411765,TP2,6.5216911764707675,0.7193013175085219
6307,BUY,1086.53,1086.53,1097.2351470588228,1097.2351470588228,TP2,6.283455882352541,0.723080390535644
6349,BUY,1090.33,1090.33,1103.4197058823527,1103.4197058823527,TP2,7.683088235294008,0.7116177904049652
6350,BUY,1092.05,1092.05,1104.9164705882354,1092.05,SL,0.0,0.7236973837542173
6381,BUY,1095.55,1095.55,1106.9992647058823,1095.55,SL,0.0,0.7129422268863377
6407,BUY,1099.16,1099.16,1109.628382352941,1099.16,SL,0.0,0.7661038535601645
6446,BUY,1085.04,1085.04,1097.3551470588227,1085.04,SL,0.0,0.7139763843345608
6477,BUY,1072.78,1070.5741176470588,1085.463823529412,1070.5741176470588,SL,-2.2058823529412166,0.7189744467000596
6502,BUY,1077.59,1077.59,1087.009852941177,1087.009852941177,TP2,5.529044117647459,0.701662534750277
6596,BUY,1088.44,1088.44,1100.3120588235292,1100.3120588235292,TP2,6.968382352941035,0.7001179264040115
6681,BUY,1112.87,1110.8117647058823,1124.7048529411761,1110.8117647058823,SL,-2.058235294117594,0.7253633758743212
6725,BUY,1117.82,1117.82,1130.6323529411766,1117.82,SL,0.0,0.733902035988482
6770,BUY,1118.82,1118.82,1131.5680882352942,1131.5680882352942,TP2,7.482573529411866,0.7294545491596031
6771,BUY,1119.36,1119.36,1132.1385294117647,1132.1385294117647,TP2,7.500441176470645,0.7158732536947467
6772,BUY,1120.44,1120.44,1132.951323529412,1132.951323529412,TP2,7.343602941176641,0.7279864401111172
6773,BUY,1119.58,1119.58,1131.5129411764701,1131.5129411764701,TP2,7.004117647058592,0.7648066770516091
6781,BUY,1126.74,1126.74,1138.24,1138.24,TP2,6.75,0.7002942601784465
6811,BUY,1131.67,1129.5252941176473,1144.0020588235288,1129.5252941176473,SL,-2.1447058823528096,0.7420298585228646
6875,BUY,1123.74,1121.4958823529412,1136.6436764705882,1121.4958823529412,SL,-2.244117647058829,0.7430085861213812
6927,BUY,1105.79,1103.5017647058824,1118.9473529411762,1103.5017647058824,SL,-2.2882352941176123,0.7576424902997891
6980,BUY,1114.19,1114.19,1126.4950000000006,1114.19,SL,0.0,0.724220890872814
7018,BUY,1106.76,1106.76,1119.1935294117652,1119.1935294117652,TP2,7.297941176470886,0.7070131745519619
7022,BUY,1110.13,1110.13,1122.8408823529414,1122.8408823529414,TP2,7.46073529411774,0.7182091422632215
7023,BUY,1113.17,1113.17,1125.1097058823525,1125.1097058823525,TP2,7.008088235293826,0.7754780250433341
7024,BUY,1114.16,1114.16,1126.4785294117653,1126.4785294117653,TP2,7.23044117647089,0.7623972324666651
7025,BUY,1115.33,1115.33,1127.4624999999994,1127.4624999999994,TP2,7.121249999999691,0.7996229060924851
7026,BUY,1115.85,1115.85,1127.8945588235288,1127.8945588235288,TP2,7.069632352940857,0.8387639688595285
7027,BUY,1115.53,1115.53,1127.598235294117,1127.598235294117,TP2,7.0835294117644025,0.7989755208891226
7028,BUY,1116.32,1116.32,1128.5742647058828,1128.5742647058828,TP2,7.192720588235602,0.7706313133510677
7029,BUY,1115.83,1115.83,1128.182352941177,1128.182352941177,TP2,7.2502941176474,0.7586945109215072
7030,BUY,1116.24,1116.24,1128.3116176470583,1128.3116176470583,TP2,7.085514705882019,0.7411897947630288
7031,BUY,1117.04,1117.04,1128.9255882352936,1128.9255882352936,TP2,6.976323529411502,0.7195431598842481
8192,BUY,1102.14,1099.9535294117647,1114.7122058823534,1099.9535294117647,SL,-2.186470588235352,0.7290744025718536
9440,SELL,1070.06,1070.06,1057.8733823529406,1070.06,SL,0.0,0.7845305613630899
9470,SELL,1070.37,1070.37,1056.7188235294122,1070.37,SL,0.0,0.7960220490608875
9518,SELL,1068.22,1070.2105882352942,1056.7741176470588,1070.2105882352942,SL,-1.9905882352941262,0.7306499363175348
9749,BUY,1085.22,1083.0294117647059,1097.8158823529416,1083.0294117647059,SL,-2.1905882352941717,0.7071819195468345
9784,BUY,1089.57,1089.57,1102.3045588235295,1089.57,SL,0.0,0.7671433639210766
9815,BUY,1092.09,1090.1599999999999,1103.1875000000002,1090.1599999999999,SL,-1.9300000000000637,0.706119996497329
